"","Region","Maize_max_price","Maize_min_price","Latitude","Longitude","Maize_max_price_per_kg","Maize_min_price_per_kg"
"1","Arusha",50123.5294117647,48600,-3.36968,-3.36968,501.235294117647,486
"2","Dar es Salaam",53167.6300578035,47563.5838150289,-6.81931520231214,-6.81931520231214,531.676300578035,475.635838150289
"3","Dodoma",47493.5897435897,43099.358974359,-6.13482980769231,-6.13482980769231,474.935897435897,430.99358974359
"4","Kagera",58361.4457831325,54337.3493975904,-1.3314,-1.3314,583.614457831325,543.373493975904
"5","Manyara",52070.5882352941,43094.1176470588,-4.21006,-4.21006,520.705882352941,430.941176470588
"6","Rukwa",35365.8536585366,31463.4146341463,-7.95239,-7.95239,353.658536585366,314.634146341463
"7","Katavi",39280,33540,-6.34295,-6.34295,392.8,335.4
"8","Mtwara",43156.6265060241,42313.2530120482,-10.28009,-10.28009,431.566265060241,423.132530120482
"9","Tabora",40530.1204819277,38939.7590361446,-5.01972,-5.01972,405.301204819277,389.397590361446
"10","Tanga",49389.1927710843,47420.1445783133,-5.07426,-5.07426,493.891927710843,474.201445783132
"11","Iringa",37453.3333333333,35600,-7.78001,-7.78001,374.533333333333,356
"12","Kigoma",46467.5373134328,44885.0746268657,-4.89697,-4.89697,464.675373134328,448.850746268657
"13","Morogoro",46297.1780821918,44940.9178082192,-6.82771,-6.82771,462.971780821918,449.409178082192
"14","Mwanza",65378.7878787879,57090.9090909091,-2.51969,-2.51969,653.787878787879,570.909090909091
"15","Mara",62937.5,57937.5,-1.49982,-1.49982,629.375,579.375
"16","Ruvuma",36197.5308641975,30037.037037037,-10.67873,-10.67873,361.975308641975,300.37037037037
"17","Shinyanga",45573.3333333333,42333.3333333333,-3.67226,-3.67226,455.733333333333,423.333333333333
"18","Kilimanjaro",58368.4210526316,57763.1578947368,-3.34865,-3.34865,583.684210526316,577.631578947368
"19","Mbeya",36500,36500,-8.90994,-8.90994,365,365
"20","Njombe",43672.131147541,40655.737704918,-9.33805,-9.33805,436.72131147541,406.55737704918
"21","Lindi",99583.3333333333,71250,-9.995,-9.995,995.833333333333,712.5
